,County,State,Total infections
1573,Trousdale County,Tennessee,983328
1574,Unicoi County,Tennessee,852967
1575,Weakley County,Tennessee,1728049
1576,Andrews County,Texas,771366
1577,Angelina County,Texas,3666681
1578,Aransas County,Texas,612200
1579,Archer County,Texas,340609
1580,Atascosa County,Texas,2375194
1581,Austin County,Texas,917947
1582,Bailey County,Texas,322484
1583,Bandera County,Texas,604413
1584,Bastrop County,Texas,3873922
1585,Baylor County,Texas,138374
1586,Bee County,Texas,1492869
1587,Bexar County,Texas,90101044
1588,Blanco County,Texas,321739
1589,Borden County,Texas,11610
1590,Bosque County,Texas,681922
1591,Bowie County,Texas,3222267
1592,Brazoria County,Texas,15931213
1593,Brazos County,Texas,10594058
1594,Brewster County,Texas,355124
1595,Briscoe County,Texas,65358
1596,Burleson County,Texas,934904
1597,Burnet County,Texas,1973143
1598,Callahan County,Texas,501264
1599,Camp County,Texas,545848
1600,Carson County,Texas,217723
1601,Castro County,Texas,399343
1602,Childress County,Texas,525212
1603,Cochran County,Texas,126380
1604,Coke County,Texas,193669
1605,Coleman County,Texas,311325
1606,Collin County,Texas,36761406
1607,Collingsworth County,Texas,122233
1608,Colorado County,Texas,712246
1609,Comal County,Texas,4874967
1610,Concho County,Texas,185051
1611,Cooke County,Texas,1490230
1612,Coryell County,Texas,2961240
1613,Cottle County,Texas,73738
1614,Crane County,Texas,236666
1615,Crosby County,Texas,274538
1616,Culberson County,Texas,133399
1617,Dallam County,Texas,361274
1618,DeWitt County,Texas,818069
1619,Deaf Smith County,Texas,1098921
1620,Denton County,Texas,30022853
1621,Dickens County,Texas,72904
1622,Dimmit County,Texas,961474
1623,Donley County,Texas,164875
1624,Eastland County,Texas,573475
1625,Ector County,Texas,7185334
1626,Erath County,Texas,1755783
1627,Falls County,Texas,794346
1628,Fisher County,Texas,123599
1629,Foard County,Texas,50758
1630,Fort Bend County,Texas,27644850
1631,Freestone County,Texas,770589
1632,Frio County,Texas,1150497
1633,Gaines County,Texas,605447
1634,Galveston County,Texas,17024264
1635,Garza County,Texas,197668
1636,Gillespie County,Texas,1029900
1637,Glasscock County,Texas,43568
1638,Goliad County,Texas,189049
1639,Gonzales County,Texas,1066015
1640,Gregg County,Texas,4963238
1641,Grimes County,Texas,1478530
1642,Hansford County,Texas,347749
1643,Hartley County,Texas,248202
1644,Hays County,Texas,8837128
1645,Hemphill County,Texas,220617
1646,Hockley County,Texas,1179459
1647,Hood County,Texas,2718186
1648,Hudspeth County,Texas,198260
1649,Hunt County,Texas,2708816
1650,Irion County,Texas,51846
1651,Jack County,Texas,256315
1652,Jim Hogg County,Texas,255264
1653,Jim Wells County,Texas,1891621
1654,Karnes County,Texas,1000400
1655,Kaufman County,Texas,6626735
1656,Kenedy County,Texas,16277
1657,Kerr County,Texas,1850936
1658,Kimble County,Texas,119696
1659,King County,Texas,4962
1660,Kinney County,Texas,142112
1661,Kleberg County,Texas,1150502
1662,La Salle County,Texas,390937
1663,Lamb County,Texas,904702
1664,Lampasas County,Texas,921333
1665,Lavaca County,Texas,963872
1666,Lipscomb County,Texas,127908
1667,Live Oak County,Texas,482914
1668,Llano County,Texas,696469
1669,Loving County,Texas,1643
1670,Lubbock County,Texas,19924355
1671,Lynn County,Texas,251755
1672,Matagorda County,Texas,1637290
1673,Maverick County,Texas,4056941
1674,McCulloch County,Texas,248760
1675,McLennan County,Texas,11513190
1676,McMullen County,Texas,33919
1677,Milam County,Texas,1044226
1678,Montague County,Texas,865281
1679,Motley County,Texas,44988
1680,Nacogdoches County,Texas,2032076
1681,Navarro County,Texas,2448364
1682,Nolan County,Texas,667031
1683,Nueces County,Texas,16867599
1684,Ochiltree County,Texas,456414
1685,Palo Pinto County,Texas,1257626
1686,Parker County,Texas,6611106
1687,Parmer County,Texas,492317
1688,Pecos County,Texas,660685
1689,Presidio County,Texas,301707
1690,Rains County,Texas,372357
1691,Randall County,Texas,7028599
1692,Reagan County,Texas,163258
1693,Real County,Texas,139021
1694,Reeves County,Texas,899353
1695,Refugio County,Texas,305312
1696,Rockwall County,Texas,4812897
1697,Runnels County,Texas,514639
1698,Rusk County,Texas,1948014
1699,San Augustine County,Texas,243824
1700,San Jacinto County,Texas,643249
1701,San Patricio County,Texas,1882782
1702,San Saba County,Texas,300616
1703,Schleicher County,Texas,100574
1704,Scurry County,Texas,1004579
1705,Shackelford County,Texas,118627
1706,Somervell County,Texas,434792
1707,Starr County,Texas,3641511
1708,Sterling County,Texas,47140
1709,Stonewall County,Texas,63664
1710,Sutton County,Texas,189363
1711,Swisher County,Texas,371221
1712,Tarrant County,Texas,104283045
1713,Terry County,Texas,666729
1714,Throckmorton County,Texas,32377
1715,Titus County,Texas,1607726
1716,Tom Green County,Texas,7102008
1717,Travis County,Texas,33997053
1718,Tyler County,Texas,611901
1719,Upshur County,Texas,1494267
1720,Upton County,Texas,161412
1721,Uvalde County,Texas,1623845
1722,Val Verde County,Texas,3156703
1723,Van Zandt County,Texas,1975847
1724,Victoria County,Texas,3669190
1725,Waller County,Texas,1718607
1726,Webb County,Texas,17521814
1727,Wharton County,Texas,1711934
1728,Wilbarger County,Texas,737246
1729,Willacy County,Texas,1262043
1730,Winkler County,Texas,327896
1731,Wise County,Texas,3094525
1732,Yoakum County,Texas,360448
1733,Young County,Texas,859633
1734,Zapata County,Texas,685106
1735,Zavala County,Texas,739357
1736,Box Elder County,Utah,2338860
1737,Cache County,Utah,6473315
1738,Daggett County,Utah,23393
1739,Duchesne County,Utah,659154
1740,Emery County,Utah,396946
1741,Juab County,Utah,543233
1742,Millard County,Utah,611564
1743,Piute County,Utah,45256
1744,Rich County,Utah,63578
1745,Salt Lake County,Utah,59486382
1746,Sanpete County,Utah,1548660
1747,Tooele County,Utah,3181498
1748,Uintah County,Utah,1234817
1749,Utah County,Utah,38341731
1750,Wasatch County,Utah,1850159
1751,Weber County,Utah,12144673
1752,Addison County,Vermont,424893
1753,Bennington County,Vermont,846647
1754,Caledonia County,Vermont,442547
1755,Chittenden County,Vermont,2988968
1756,Grand Isle County,Vermont,87741
1757,Lamoille County,Vermont,346051
1758,Rutland County,Vermont,977216
1759,Windsor County,Vermont,680448
1760,St. Croix County,Virgin Islands,714961
1761,St. John County,Virgin Islands,96916
1762,St. Thomas County,Virgin Islands,878072
1763,Accomack County,Virginia,1147639
1764,Albemarle County,Virginia,2256643
1765,Alexandria city County,Virginia,4455926
1766,Amelia County,Virginia,376845
1767,Amherst County,Virginia,1200648
1768,Appomattox County,Virginia,651556
1769,Arlington County,Virginia,5768530
1770,Augusta County,Virginia,2576047
1771,Bland County,Virginia,288350
1772,Botetourt County,Virginia,1048222
1773,Bristol city County,Virginia,623431
1774,Buckingham County,Virginia,819123
1775,Buena Vista city County,Virginia,366705
1776,Charles City County,Virginia,194868
1777,Charlottesville city County,Virginia,1549256
1778,Chesapeake city County,Virginia,8199842
1779,Colonial Heights city County,Virginia,683697
1780,Covington city County,Virginia,233642
1781,Culpeper County,Virginia,1860777
1782,Danville city County,Virginia,1777967
1783,Dickenson County,Virginia,430343
1784,Dinwiddie County,Virginia,861230
1785,Emporia city County,Virginia,258136
1786,Fairfax County,Virginia,28644724
1787,Fairfax city County,Virginia,228780
1788,Falls Church city County,Virginia,168843
1789,Fauquier County,Virginia,1917618
1790,Fluvanna County,Virginia,726002
1791,Franklin city County,Virginia,449874
1792,Fredericksburg city County,Virginia,841450
1793,Galax city County,Virginia,452074
1794,Goochland County,Virginia,570327
1795,Greensville County,Virginia,592531
1796,Hampton city County,Virginia,4142818
1797,Hanover County,Virginia,3255871
1798,Harrisonburg city County,Virginia,2486939
1799,Henrico County,Virginia,9903115
1800,Hopewell city County,Virginia,1015444
1801,Isle of Wight County,Virginia,1236438
1802,James City County,Virginia,1882879
1803,King George County,Virginia,696644
1804,King William County,Virginia,500293
1805,King and Queen County,Virginia,163882
1806,Lexington city County,Virginia,458631
1807,Loudoun County,Virginia,10403881
1808,Lunenburg County,Virginia,307348
1809,Lynchburg city County,Virginia,3145188
1810,Manassas Park city County,Virginia,439421
1811,Manassas city County,Virginia,1623429
1812,Martinsville city County,Virginia,626221
1813,Mathews County,Virginia,243771
1814,New Kent County,Virginia,625143
1815,Newport News city County,Virginia,5594517
1816,Norfolk city County,Virginia,6920480
1817,Norton city County,Virginia,136090
1818,Nottoway County,Virginia,759940
1819,Patrick County,Virginia,567372
1820,Petersburg city County,Virginia,1468007
1821,Pittsylvania County,Virginia,2228833
1822,Poquoson city County,Virginia,352850
1823,Portsmouth city County,Virginia,3555194
1824,Powhatan County,Virginia,767613
1825,Prince Edward County,Virginia,839910
1826,Prince George County,Virginia,1403228
1827,Prince William County,Virginia,16986241
1828,Radford city County,Virginia,855214
1829,Rappahannock County,Virginia,149374
1830,Richmond city County,Virginia,6774556
1831,Roanoke County,Virginia,3336324
1832,Roanoke city County,Virginia,3428515
1833,Rockbridge County,Virginia,599213
1834,Salem city County,Virginia,916042
1835,Shenandoah County,Virginia,1744379
1836,Smyth County,Virginia,1245072
1837,Southampton County,Virginia,747972
1838,Spotsylvania County,Virginia,4062196
1839,Staunton city County,Virginia,1005254
1840,Suffolk city County,Virginia,3104413
1841,Virginia Beach city County,Virginia,14120372
1842,Waynesboro city County,Virginia,969382
1843,Williamsburg city County,Virginia,302740
1844,Winchester city County,Virginia,1108564
1845,Wythe County,Virginia,1127893
1846,Asotin County,Washington,679808
1847,Chelan County,Washington,3011230
1848,Clallam County,Washington,881202
1849,Cowlitz County,Washington,2965556
1850,Ferry County,Washington,168374
1851,Grays Harbor County,Washington,1993888
1852,Island County,Washington,883396
1853,Kitsap County,Washington,3830278
1854,Kittitas County,Washington,1280469
1855,Klickitat County,Washington,425198
1856,Okanogan County,Washington,1211117
1857,Pacific County,Washington,431131
1858,Pend Oreille County,Washington,358165
1859,Skagit County,Washington,2650899
1860,Skamania County,Washington,170101
1861,Snohomish County,Washington,16755032
1862,Spokane County,Washington,19027856
1863,Wahkiakum County,Washington,62599
1864,Walla Walla County,Washington,2332586
1865,Whatcom County,Washington,4021577
1866,Whitman County,Washington,1667334
1867,Yakima County,Washington,12657110
1868,Braxton County,West Virginia,475548
1869,Brooke County,West Virginia,890156
1870,Cabell County,West Virginia,3826523
1871,Doddridge County,West Virginia,285114
1872,Greenbrier County,West Virginia,1228975
1873,Hardy County,West Virginia,643082
1874,Kanawha County,West Virginia,6331976
1875,Mingo County,West Virginia,1143418
1876,Monongalia County,West Virginia,3698447
1877,Pleasants County,West Virginia,380600
1878,Preston County,West Virginia,1289116
1879,Raleigh County,West Virginia,2836448
1880,Ritchie County,West Virginia,336856
1881,Summers County,West Virginia,360599
1882,Tucker County,West Virginia,258095
1883,Wetzel County,West Virginia,609800
1884,Wirt County,West Virginia,197903
1885,Barron County,Wisconsin,2446689
1886,Bayfield County,Wisconsin,510081
1887,Burnett County,Wisconsin,636770
1888,Calumet County,Wisconsin,2578318
1889,Dane County,Wisconsin,17998243
1890,Door County,Wisconsin,1133608
1891,Eau Claire County,Wisconsin,4871011
1892,Fond du Lac County,Wisconsin,5508523
1893,Green Lake County,Wisconsin,860058
1894,Juneau County,Wisconsin,1318006
1895,Kenosha County,Wisconsin,7358085
1896,Kewaunee County,Wisconsin,1089429
1897,La Crosse County,Wisconsin,5391076
1898,Langlade County,Wisconsin,910357
1899,Manitowoc County,Wisconsin,3576863
1900,Marathon County,Wisconsin,6538743
1901,Marinette County,Wisconsin,1952007
1902,Milwaukee County,Wisconsin,46156380
1903,Oconto County,Wisconsin,2074176
1904,Outagamie County,Wisconsin,9378915
1905,Ozaukee County,Wisconsin,3715515
1906,Pepin County,Wisconsin,354951
1907,Price County,Wisconsin,549169
1908,Racine County,Wisconsin,9858781
1909,Sauk County,Wisconsin,2498013
1910,Sawyer County,Wisconsin,739650
1911,Shawano County,Wisconsin,2142813
1912,Sheboygan County,Wisconsin,5785226
1913,Trempealeau County,Wisconsin,1486836
1914,Vilas County,Wisconsin,943254
1915,Washburn County,Wisconsin,648063
1916,Waukesha County,Wisconsin,19331490
1917,Waupaca County,Wisconsin,2453279
1918,Waushara County,Wisconsin,1051142
1919,Converse County,Wyoming,504392
1920,Goshen County,Wyoming,569603
1921,Hot Springs County,Wyoming,191949
1922,Laramie County,Wyoming,4252178
1923,Natrona County,Wyoming,3693641
1924,Niobrara County,Wyoming,86155
1925,Sublette County,Wyoming,344667
1926,Sweetwater County,Wyoming,1941247
1927,Uinta County,Wyoming,993995
1928,Washakie County,Wyoming,415974
1929,Weston County,Wyoming,285924
