,County,State,Total infections
485,Alexander County,Illinois,203922
486,Bond County,Illinois,804310
487,Brown County,Illinois,305300
488,Bureau County,Illinois,1429544
489,Cass County,Illinois,806112
490,Champaign County,Illinois,8240027
491,Christian County,Illinois,1539534
492,Clinton County,Illinois,2259796
493,Coles County,Illinois,2328315
494,Cumberland County,Illinois,541511
495,De Witt County,Illinois,617874
496,DuPage County,Illinois,34455069
497,Edgar County,Illinois,734920
498,Edwards County,Illinois,267322
499,Ford County,Illinois,730290
500,Gallatin County,Illinois,208833
501,Grundy County,Illinois,2291507
502,Hardin County,Illinois,166482
503,Henderson County,Illinois,214880
504,Iroquois County,Illinois,1258542
505,Jersey County,Illinois,1063887
506,Jo Daviess County,Illinois,703692
507,Kane County,Illinois,22048541
508,Kankakee County,Illinois,5544109
509,Kendall County,Illinois,5203238
510,Knox County,Illinois,2199684
511,LaSalle County,Illinois,4760363
512,Livingston County,Illinois,1849029
513,Macoupin County,Illinois,1987995
514,Mason County,Illinois,617916
515,Massac County,Illinois,587131
516,McDonough County,Illinois,1122006
517,McHenry County,Illinois,10999292
518,McLean County,Illinois,7004690
519,Menard County,Illinois,498243
520,Mercer County,Illinois,600922
521,Moultrie County,Illinois,676127
522,Ogle County,Illinois,2354126
523,Peoria County,Illinois,8412804
524,Piatt County,Illinois,612270
525,Richland County,Illinois,772557
526,Rock Island County,Illinois,5844865
527,Sangamon County,Illinois,7575823
528,Schuyler County,Illinois,312160
529,Stark County,Illinois,248912
530,Stephenson County,Illinois,1858879
531,Tazewell County,Illinois,6393882
532,Vermilion County,Illinois,4094078
533,Wabash County,Illinois,593804
534,Whiteside County,Illinois,2691714
535,Will County,Illinois,28912203
536,Williamson County,Illinois,3283717
537,Winnebago County,Illinois,12947874
538,Woodford County,Illinois,1790287
539,Allen County,Indiana,16906530
540,Bartholomew County,Indiana,3344324
541,Blackford County,Indiana,559285
542,Daviess County,Indiana,1286131
543,Dearborn County,Indiana,2389336
544,Delaware County,Indiana,4418554
545,Dubois County,Indiana,2486297
546,Elkhart County,Indiana,11243120
547,Fountain County,Indiana,940904
548,Gibson County,Indiana,1857203
549,Harrison County,Indiana,1823467
550,Hendricks County,Indiana,7067910
551,Huntington County,Indiana,1753840
552,Jay County,Indiana,826676
553,Jennings County,Indiana,1045219
554,Kosciusko County,Indiana,3793033
555,LaGrange County,Indiana,1087368
556,LaPorte County,Indiana,4638069
557,Miami County,Indiana,1654730
558,Noble County,Indiana,2352600
559,Ohio County,Indiana,239853
560,Owen County,Indiana,876698
561,Parke County,Indiana,646282
562,Porter County,Indiana,7209951
563,Posey County,Indiana,1120961
564,Ripley County,Indiana,1438341
565,Rush County,Indiana,769350
566,Spencer County,Indiana,966635
567,St. Joseph County,Indiana,13805707
568,Starke County,Indiana,901368
569,Steuben County,Indiana,1621307
570,Sullivan County,Indiana,915373
571,Switzerland County,Indiana,357223
572,Tippecanoe County,Indiana,8748556
573,Tipton County,Indiana,669632
574,Vanderburgh County,Indiana,9329876
575,Vermillion County,Indiana,728540
576,Vigo County,Indiana,5115588
577,Warrick County,Indiana,3261368
578,Wells County,Indiana,1220814
579,Whitley County,Indiana,1641402
580,Adair County,Iowa,334370
581,Allamakee County,Iowa,598122
582,Appanoose County,Iowa,528777
583,Audubon County,Iowa,204671
584,Black Hawk County,Iowa,6353486
585,Bremer County,Iowa,1124140
586,Buchanan County,Iowa,797599
587,Buena Vista County,Iowa,1618799
588,Cedar County,Iowa,747238
589,Cerro Gordo County,Iowa,2170704
590,Chickasaw County,Iowa,497696
591,Davis County,Iowa,339279
592,Des Moines County,Iowa,1903129
593,Dickinson County,Iowa,925003
594,Dubuque County,Iowa,5196804
595,Emmet County,Iowa,513548
596,Guthrie County,Iowa,476692
597,Ida County,Iowa,361776
598,Iowa County,Iowa,607698
599,Keokuk County,Iowa,399764
600,Kossuth County,Iowa,840922
601,Linn County,Iowa,8599663
602,Louisa County,Iowa,515377
603,Lucas County,Iowa,320401
604,Lyon County,Iowa,609033
605,Mahaska County,Iowa,944996
606,Mills County,Iowa,633501
607,Monona County,Iowa,330378
608,Muscatine County,Iowa,1887506
609,O'Brien County,Iowa,748706
610,Page County,Iowa,753314
611,Palo Alto County,Iowa,436118
612,Plymouth County,Iowa,1514280
613,Pocahontas County,Iowa,340198
614,Pottawattamie County,Iowa,4380048
615,Poweshiek County,Iowa,633810
616,Ringgold County,Iowa,215985
617,Sac County,Iowa,502313
618,Sioux County,Iowa,1923876
619,Story County,Iowa,4068614
620,Tama County,Iowa,825923
621,Wapello County,Iowa,1735153
622,Winneshiek County,Iowa,756122
623,Woodbury County,Iowa,5898763
624,Wright County,Iowa,742301
625,Anderson County,Kansas,340093
626,Atchison County,Kansas,682719
627,Barber County,Kansas,154361
628,Barton County,Kansas,1110704
629,Bourbon County,Kansas,650738
630,Chase County,Kansas,112358
631,Chautauqua County,Kansas,126473
632,Cloud County,Kansas,414787
633,Coffey County,Kansas,326363
634,Comanche County,Kansas,74890
635,Cowley County,Kansas,1644284
636,Doniphan County,Kansas,418429
637,Elk County,Kansas,80157
638,Ellis County,Kansas,1461343
639,Ellsworth County,Kansas,466799
640,Finney County,Kansas,2394862
641,Geary County,Kansas,1390827
642,Gove County,Kansas,153786
643,Gray County,Kansas,252259
644,Greeley County,Kansas,45772
645,Greenwood County,Kansas,266373
646,Harper County,Kansas,264937
647,Harvey County,Kansas,1495030
648,Haskell County,Kansas,172299
649,Hodgeman County,Kansas,79543
650,Jewell County,Kansas,104848
651,Kearny County,Kansas,235020
652,Kingman County,Kansas,325456
653,Labette County,Kansas,1111990
654,Lane County,Kansas,56262
655,Leavenworth County,Kansas,3018868
656,McPherson County,Kansas,1350914
657,Meade County,Kansas,205427
658,Morris County,Kansas,242984
659,Morton County,Kansas,109443
660,Nemaha County,Kansas,613433
661,Neosho County,Kansas,767501
662,Ness County,Kansas,150617
663,Norton County,Kansas,475530
664,Osage County,Kansas,549893
665,Osborne County,Kansas,123003
666,Ottawa County,Kansas,226185
667,Pawnee County,Kansas,456955
668,Pottawatomie County,Kansas,812174
669,Pratt County,Kansas,352105
670,Rawlins County,Kansas,142247
671,Reno County,Kansas,3464196
672,Republic County,Kansas,272486
673,Rice County,Kansas,437671
674,Riley County,Kansas,2557922
675,Rooks County,Kansas,256487
676,Seward County,Kansas,1545536
677,Shawnee County,Kansas,7340047
678,Sheridan County,Kansas,167905
679,Sherman County,Kansas,264948
680,Smith County,Kansas,114658
681,Stafford County,Kansas,161595
682,Stanton County,Kansas,80339
683,Stevens County,Kansas,244663
684,Sumner County,Kansas,916885
685,Trego County,Kansas,157920
686,Wabaunsee County,Kansas,281184
687,Wallace County,Kansas,75727
688,Wichita County,Kansas,88179
689,Wilson County,Kansas,430135
690,Woodson County,Kansas,102367
691,Wyandotte County,Kansas,8367735
692,Ballard County,Kentucky,177490
693,Barren County,Kentucky,2007539
694,Bath County,Kentucky,420727
695,Bell County,Kentucky,1418318
696,Boyd County,Kentucky,2207430
697,Boyle County,Kentucky,1462004
698,Bracken County,Kentucky,283047
699,Breathitt County,Kentucky,481862
700,Breckinridge County,Kentucky,639508
701,Bullitt County,Kentucky,3145090
702,Caldwell County,Kentucky,621765
703,Calloway County,Kentucky,1471308
704,Campbell County,Kentucky,3635379
705,Carlisle County,Kentucky,190462
706,Carter County,Kentucky,1099301
707,Casey County,Kentucky,678250
708,Edmonson County,Kentucky,402316
709,Elliott County,Kentucky,395489
710,Estill County,Kentucky,531595
711,Fleming County,Kentucky,544630
712,Garrard County,Kentucky,691804
713,Graves County,Kentucky,1888132
714,Grayson County,Kentucky,1075905
715,Green County,Kentucky,578341
716,Greenup County,Kentucky,1634800
717,Harlan County,Kentucky,1301694
718,Hickman County,Kentucky,154478
719,Hopkins County,Kentucky,2060812
720,Jessamine County,Kentucky,2060199
721,Kenton County,Kentucky,6941436
722,Knott County,Kentucky,556709
723,Larue County,Kentucky,602306
724,Laurel County,Kentucky,3190935
725,Leslie County,Kentucky,474183
726,Letcher County,Kentucky,917323
727,Magoffin County,Kentucky,503563
728,McCracken County,Kentucky,2792090
729,McCreary County,Kentucky,899795
730,Menifee County,Kentucky,212291
731,Metcalfe County,Kentucky,475300
732,Muhlenberg County,Kentucky,1398886
733,Nelson County,Kentucky,2172522
734,Nicholas County,Kentucky,267194
735,Oldham County,Kentucky,3008625
736,Owsley County,Kentucky,231696
737,Pendleton County,Kentucky,483822
738,Powell County,Kentucky,597127
739,Robertson County,Kentucky,94768
740,Rockcastle County,Kentucky,740539
741,Rowan County,Kentucky,961859
742,Simpson County,Kentucky,865946
743,Todd County,Kentucky,478936
744,Trigg County,Kentucky,547668
745,Trimble County,Kentucky,310322
746,Wolfe County,Kentucky,265426
747,Acadia County,Louisiana,2880225
748,Ascension County,Louisiana,5696293
749,Assumption County,Louisiana,989278
750,Avoyelles County,Louisiana,1890405
751,Beauregard County,Louisiana,1501498
752,Bienville County,Louisiana,705902
753,Bossier County,Louisiana,5993024
754,Caddo County,Louisiana,11140445
755,Calcasieu County,Louisiana,9460220
756,Cameron County,Louisiana,247316
757,Catahoula County,Louisiana,494817
758,Claiborne County,Louisiana,595100
759,Concordia County,Louisiana,854083
760,De Soto County,Louisiana,1257229
761,East Baton Rouge County,Louisiana,17380816
762,East Carroll County,Louisiana,471649
763,East Feliciana County,Louisiana,1321032
764,Evangeline County,Louisiana,1573612
765,Iberia County,Louisiana,3268330
766,Iberville County,Louisiana,1638710
767,Jefferson Davis County,Louisiana,1330428
